doc,summarizer,Q5,Q1,Q2,Q3,Q4
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.30749160051345825,0.6707097887992859,0.48288726806640625,0.6431632041931152,0.4842907786369324
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,0.3986223638057709,0.7552891373634338,0.3720093071460724,0.9241616725921631,0.5899984240531921
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.38148370385169983,0.8898504972457886,0.8812138438224792,0.5940517783164978,0.5902084708213806
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,0.37371572852134705,0.838229238986969,0.6825014352798462,0.548052966594696,0.37576377391815186
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,0.46216869354248047,0.5035409331321716,0.8536906242370605,0.32560616731643677,0.405967652797699
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,0.2590661942958832,0.8610077500343323,1.132764220237732,0.4268210530281067,0.2565730810165405
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,0.25877171754837036,0.6223935484886169,0.8478350043296814,0.4242694675922394,0.48344793915748596
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,0.4752469062805176,0.9440463185310364,0.9363324046134949,0.7649590969085693,0.5421643853187561
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,0.4560980498790741,0.8689517378807068,1.0856746435165405,0.6532394886016846,0.6458204984664917
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,0.40154606103897095,0.928919792175293,0.7640981078147888,0.4974951148033142,0.4902799725532532
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,0.5690819621086121,0.9144799709320068,0.8658446669578552,0.7408296465873718,0.7158045172691345
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,0.31783634424209595,0.7798890471458435,0.8996483087539673,0.6659391522407532,0.5653007626533508
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,0.6533992290496826,0.9065843224525452,0.9794355630874634,0.5152379870414734,0.7902396321296692
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,0.49072664976119995,0.737247884273529,0.7868926525115967,0.7068625092506409,0.4418661296367645
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,0.38423997163772583,0.8340156674385071,0.38991013169288635,1.0303566455841064,0.5768167972564697
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,0.4932262599468231,0.9697149991989136,0.8246433734893799,0.9505579471588135,0.5219647884368896
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.4159736633300781,0.6420859098434448,0.7615663409233093,0.5348606705665588,0.4934648871421814
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,0.5616511106491089,0.7645553350448608,0.44054552912712097,0.7829449772834778,0.5575922727584839
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,0.5726677775382996,0.7624309062957764,0.9700849652290344,0.8645856976509094,0.5318083167076111
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,0.5998991131782532,0.6579691171646118,0.933276355266571,0.908210039138794,0.7286299467086792
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,0.4154605269432068,0.7138586640357971,1.0578210353851318,0.3251554071903229,0.3974211513996124
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,0.886409342288971,0.7442750334739685,0.5531709790229797,0.989845871925354,0.7706221342086792
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.6648133993148804,0.6461849808692932,0.609932005405426,0.8150044083595276,0.6165050268173218
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,0.4935925602912903,0.9046233892440796,0.5615200996398926,0.7888356447219849,0.7264445424079895
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,0.3783990442752838,0.7082074880599976,0.9807820320129395,0.749411940574646,0.46714162826538086
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,0.476980596780777,0.7648804783821106,0.8097806572914124,0.6021202206611633,0.44954776763916016
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,0.6248528361320496,0.8376059532165527,0.7274085879325867,0.9109395742416382,0.6056602597236633
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,0.11984319984912872,0.7028027772903442,0.8529342412948608,0.47450682520866394,0.42700517177581787
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,0.4791465401649475,0.6431970596313477,0.2873854339122772,0.8284988403320312,0.6397566795349121
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,0.509013831615448,1.058855414390564,0.9532572627067566,0.7710049152374268,0.5477989912033081
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,0.5544790029525757,0.9195641875267029,0.5779493451118469,0.5802516341209412,0.7301398515701294
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,0.26289841532707214,0.607654869556427,0.9764896035194397,0.3363524079322815,0.4507029354572296
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,0.5602274537086487,0.8007280230522156,0.7096794247627258,0.7770692110061646,0.6430574655532837
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,0.5148344039916992,1.0708261728286743,0.9667313694953918,0.6776801347732544,0.44987672567367554
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,0.4444310963153839,0.5948708653450012,0.9714888334274292,0.7283033132553101,0.3461053669452667
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,0.48005273938179016,0.9039502143859863,0.8505852818489075,0.8113950490951538,0.553193211555481
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,0.5281393527984619,0.9256601333618164,0.8373468518257141,0.8097649216651917,0.6696728467941284
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,0.6300562024116516,0.7841466069221497,0.5515454411506653,0.8057399392127991,0.49912819266319275
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,0.22413235902786255,0.4433726370334625,0.24421966075897217,0.3619421422481537,0.46410489082336426
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,0.5913201570510864,0.7354299426078796,0.7353062629699707,0.8074244856834412,0.5961055159568787
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,0.41145581007003784,0.9724517464637756,0.9762985110282898,0.6725180745124817,0.5157782435417175
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,0.460847407579422,0.6161067485809326,0.760517954826355,0.8693786263465881,0.5612517595291138
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,0.34753328561782837,0.6699809432029724,0.8204991817474365,0.697475790977478,0.41418203711509705
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,0.3266622722148895,0.6822692155838013,1.0608774423599243,0.5222746133804321,0.4201188087463379
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,0.5631142258644104,0.8191909790039062,0.8787268400192261,0.9197151064872742,0.6359503269195557
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,0.577134907245636,0.9637767672538757,0.8686981797218323,0.5218428373336792,0.5894568562507629
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,0.42145219445228577,0.572899341583252,1.0805035829544067,0.5721967220306396,0.39605534076690674
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,0.6370965242385864,0.8615809082984924,0.682182788848877,0.4184269309043884,0.8030421137809753
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,0.35415118932724,0.30450576543807983,0.7509481310844421,0.4940376877784729,0.21610504388809204
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,0.3866773545742035,0.8622683882713318,0.8216699361801147,0.6157987117767334,0.6286840438842773
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,0.2510632276535034,0.676202118396759,0.10919168591499329,0.7894635200500488,0.41220271587371826
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,0.5142874121665955,1.0084095001220703,0.9824257493019104,0.6223296523094177,0.6926782727241516
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,0.4145015478134155,0.6412951946258545,0.9291797876358032,0.6639555096626282,0.569631814956665
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,0.26340585947036743,0.7711984515190125,1.1546227931976318,0.5547791719436646,0.513069748878479
