doc,summarizer,Qgruen,Qgrammaticality,Qredundancy,Qfocus,Qlm,Qcola
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.39998996627486605,0.39998996627486605,0.0,0.0,10.386166045898806,-0.8056351244449615
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,0.6776120847075311,0.6776120847075311,0.0,0.0,3.038642969783389,1.2020363410313923
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.6920912976100628,0.6920912976100628,0.0,0.0,4.956328321951664,1.4528332750002544
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,0.753986089098284,0.853986089098284,-0.1,0.0,7.0780269785813195,2.8028467496236167
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,0.7077711041249078,0.7077711041249078,0.0,0.0,8.726674159543833,1.6494330167770386
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,0.7670057886520214,0.7670057886520214,0.0,0.0,7.743680454680384,2.1152262886365256
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,0.47827308826769394,0.47827308826769394,0.0,0.0,262.7103285740258,-0.17381529385844866
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,0.6448689328338395,0.6448689328338395,0.0,0.0,10.09421930116587,1.1525235772132874
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,0.8439659239090431,0.8439659239090431,0.0,0.0,4.332212913774111,2.637104352315267
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,0.6225738125051123,0.6225738125051123,0.0,0.0,8.640066259027808,0.9672910571098328
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,0.6779832382359413,0.6779832382359413,0.0,0.0,4.28531284267764,1.3065231889486313
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,0.631090455215894,0.631090455215894,0.0,0.0,8.017701469517982,1.0305693944295247
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,0.6757553787791363,0.6757553787791363,0.0,0.0,11.818022573791332,1.4033281604448955
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,0.4688268812827162,0.4688268812827162,0.0,0.0,3.6097442769773735,-0.41388043761253357
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,0.684741755542264,0.684741755542264,0.0,0.0,3.453331646150731,1.300057550271352
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,0.745908439880147,0.745908439880147,0.0,0.0,3.6419297474775356,1.8053980271021526
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.37520484030246737,0.47520484030246735,-0.1,0.0,83.74762708995974,-0.19836127758026123
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,0.5760113683609849,0.6760113683609849,-0.1,0.0,4.828102971873793,1.318638801574707
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,0.7134621189190637,0.7134621189190637,0.0,0.0,5.609108634062227,1.6471632073322933
