doc,summarizer,simple_coherence_score
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,0.607978343963623
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,0.6486895680427551
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,0.9994081258773804
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,0.6513161659240723
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,0.6645320057868958
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,0.6989280581474304
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,0.05425678566098213
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,0.687915027141571
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,0.7719624042510986
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,0.6062870621681213
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,0.6457509994506836
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,0.7540494799613953
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,0.5993585586547852
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,0.617631196975708
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,0.6076288819313049
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,0.1618468165397644
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,0.7285685539245605
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,0.5939351320266724
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,0.6698822379112244
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,0.7242438793182373
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,0.2714456021785736
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,0.6676473617553711
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,0.5459210276603699
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,0.6596341133117676
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,0.633452832698822
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,0.6301818490028381
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,0.6676175594329834
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,0.0004093608004041016
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,0.6182349324226379
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,0.6777417063713074
dm-test-3785743303ddb8b594be7c449a37458b99e83812,BanditSum,0.6942286491394043
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,BanditSum,0.5895596742630005
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,BanditSum,0.052952755242586136
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,BanditSum,0.6679006814956665
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,BanditSum,0.729947030544281
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,BanditSum,0.6110666394233704
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,BanditSum,0.5934761762619019
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,BanditSum,0.6730859875679016
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,BanditSum,0.5414339303970337
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,BanditSum,0.7218001484870911
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,BanditSum,0.6087885499000549
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,BanditSum,0.9997240900993347
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,BanditSum,0.6189996004104614
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,BanditSum,0.4854823350906372
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,BanditSum,0.5891523957252502
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,BanditSum,0.562990665435791
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,BanditSum,0.679343044757843
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,BanditSum,0.9996401071548462
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,BanditSum,0.6272793412208557
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,BanditSum,0.7001804709434509
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,BanditSum,0.6555718183517456
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,BanditSum,0.7184930443763733
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,BanditSum,0.5787225961685181
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,BanditSum,0.7304471135139465
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,BanditSum,0.026770027354359627
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,BanditSum,0.6700962781906128
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,BanditSum,0.563694953918457
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,BanditSum,0.5053322315216064
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,BanditSum,0.5855616927146912
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,BanditSum,0.651893675327301
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,BanditSum,0.6521557569503784
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,BanditSum,0.6652299761772156
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,BanditSum,0.6787838935852051
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,BanditSum,0.7004152536392212
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,BanditSum,0.14781412482261658
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,BanditSum,0.6781510710716248
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,BanditSum,0.5846065878868103
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,BanditSum,0.7250558733940125
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,BanditSum,0.5234636068344116
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,BanditSum,0.6864237189292908
dm-test-801763443e6c73e3857039f2223798b2b58bef19,BanditSum,0.72214674949646
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,BanditSum,0.5798011422157288
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,BanditSum,0.6884445548057556
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,BanditSum,0.6841244697570801
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,BanditSum,0.6224755644798279
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,BanditSum,0.6280742883682251
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,BanditSum,0.7079963088035583
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,BanditSum,0.6920055747032166
dm-test-26e4e19d945cedcb489f28808c730658139c9415,BanditSum,0.703075647354126
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,BanditSum,0.632002592086792
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,BanditSum,0.7636165022850037
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,BanditSum,0.9993340373039246
dm-test-051db270afc32571a08c15124330efe89d80fea8,BanditSum,0.7559205889701843
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,BanditSum,0.6250368356704712
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,BanditSum,0.6697995662689209
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,BanditSum,0.9996206760406494
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,BanditSum,0.7335042357444763
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,BanditSum,0.6292600631713867
dm-test-fadabe346fe95d33eee71299e6596754768f5246,BanditSum,0.5912559628486633
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,BanditSum,0.6364907622337341
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,BanditSum,0.675808846950531
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,BanditSum,0.2100827693939209
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,BanditSum,0.9986733198165894
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,BanditSum,0.9996046423912048
