doc,summarizer,0
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BanditSum,-2.324854612350464
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BanditSum,-2.8343732357025146
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BanditSum,-1.432753562927246
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BanditSum,-1.5849761962890625
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BanditSum,-2.247912883758545
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BanditSum,-1.2369959354400635
dm-test-14c813567696f4e63a39993c09d4edb454036179,BanditSum,-2.72687029838562
dm-test-e470f0a87d7513bf880412524332047020422c3f,BanditSum,-2.3702404499053955
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BanditSum,-3.4903368949890137
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BanditSum,-2.066967487335205
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BanditSum,-2.2552568912506104
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BanditSum,-2.774878978729248
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BanditSum,-2.6535661220550537
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BanditSum,-3.0354273319244385
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BanditSum,-2.7730233669281006
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BanditSum,-2.534611701965332
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BanditSum,-2.7204253673553467
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BanditSum,-2.367248058319092
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BanditSum,-2.3675482273101807
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BanditSum,-3.1175858974456787
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BanditSum,-2.942502021789551
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BanditSum,-1.9593983888626099
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,BanditSum,-2.0376644134521484
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,BanditSum,-1.645204782485962
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,BanditSum,-2.028862714767456
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,BanditSum,-2.588270902633667
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,BanditSum,-2.2250051498413086
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,BanditSum,-2.712207555770874
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,BanditSum,-2.064920425415039
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,BanditSum,-2.101161003112793
